u,xi1,xi2,sig,phi,lpost,cont
2,3.2373668998963128,1.2402074288481049,1.3644736304524447,0.39400176418700383,-8239.886670117425,FALSE
2,4.084282287120331,1.162805994691545,1.7564891347039526,0.39400176418700383,-8240.589649570747,FALSE
6,2.1643232357977804,1.0452774210737774,5.359470218739182,0.19347250808585711,-8240.458359901499,FALSE
2,3.8509024662988987,1.0671052276684032,1.6335674496051735,0.39400176418700383,-8242.356825435774,FALSE
2,2.228077930942504,1.1699843638131853,1.2779695768704258,0.39400176418700383,-8240.444665994673,FALSE
2,4.128275970486336,1.156073077358831,1.4462527657388746,0.39400176418700383,-8240.31284085835,FALSE
2,3.0241895464953275,1.284355554182307,0.8371596664781134,0.39400176418700383,-8241.615309027013,FALSE
2,3.592306469517888,1.1801488494362031,1.4428442435071656,0.39400176418700383,-8239.428791979308,FALSE
215,1.5933418850776573,0.6176488407111327,37.421106895540824,0.012407348534425705,-8246.091490037095,TRUE
6,2.1650413930675176,1.0938339855014263,4.138404020432378,0.19347250808585711,-8239.47704458261,FALSE
95,1.6386714872800487,0.6521254343567544,26.80745767459533,0.026001094864614584,-8246.163035465745,TRUE
12,1.737783375632544,0.9436198401615778,8.216297347529412,0.11908262275801235,-8241.087759894523,FALSE
70,1.5494325749568887,0.8941168075635468,1.6958330977450622,0.027532932472332464,-8246.311333946453,TRUE
192,1.587936506604956,0.22718325444064405,203.6783416812382,0.0111731843575419,-8246.695783530737,FALSE
7,1.8813113776195574,1.0007924664848364,4.789298726058854,0.1746545133784181,-8239.382495658174,FALSE
27,1.6886342498234939,0.8491114275034054,14.387759143788884,0.06380476330491032,-8242.823104922865,FALSE
35,1.58160768668711,0.6731625257838617,35.5988414756406,0.05174948544545722,-8243.213965244411,FALSE
270,1.517025404919817,0.3169061629484933,97.51992640123213,0.008526903851808291,-8249.851819279516,FALSE
295,1.5673771807217638,0.5482225797712623,141.37801137039966,0.0073507791825933545,-8248.338629987891,FALSE
12,1.8002512222216387,1.1617593414858174,3.512401985106843,0.11908262275801235,-8242.99151723182,FALSE
6,2.0435818789281264,0.9789706313028352,5.2806349342187495,0.19347250808585711,-8238.895453279747,FALSE
398,1.534027597591981,0.47176132758588635,47.636719922301374,0.005581481205225109,-8246.304561050882,TRUE
346,1.5937428941093623,0.6698481780434087,3.8410909442729633,0.007920243815883812,-8247.329647126979,TRUE
395,1.578781001253619,0.28658233624344887,120.94534640167986,0.006160144376379458,-8247.598622524552,TRUE
432,1.5475084044175293,0.4408867845498673,156.34352497562753,0.007368371405741229,-8248.316444669596,TRUE
149,1.579497827455033,0.8482226190969475,3.9309411486026633,0.01688802517700637,-8245.006639307945,TRUE
6,1.7696367218044176,1.0874462757698777,2.748771496702918,0.19347250808585711,-8240.883007268618,FALSE
466,1.5431608521729856,0.5495021120163877,49.54929350372853,0.005688155372872661,-8246.736137521564,TRUE
327,1.5444643154148439,0.5291081430979184,42.66918945658159,0.007226325514613349,-8245.930156603563,TRUE
26,1.6134854358325836,1.0654064051321943,9.624853000128867,0.06615701264334019,-8244.905487352977,FALSE
292,1.5815879947591471,0.07579379496514269,237.1244141145715,0.007644810349897089,-8250.017691485917,FALSE
414,1.5227920335616445,0.4770249801184974,107.41293575170215,0.00558659217877095,-8249.217409129842,FALSE
27,1.712351291044809,0.7469821241952299,37.78673468479306,0.06380476330491032,-8244.915951179484,FALSE
25,1.5867915269357424,0.8792633363950202,11.860797480740722,0.06939135548368126,-8245.492738743793,FALSE
7,1.9362605157667792,1.0569420533036988,3.4832573779282936,0.1746545133784181,-8239.864652146573,FALSE
90,1.5933276688478428,0.860000237676108,14.500355011452843,0.027582594984984787,-8244.932477777278,TRUE
